hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBVXGJ2F9ZTED14R8ECD8V2,01KRBVXESRWWVGTT97PW0KY4G1,1,2026-05-11T15:53:58.082491+00:00,2026-05-11T15:54:00.613740+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:1,3hTs,4s3d,,,,100000,hermes,fold,
01KRBVXNQJ88VQ4WAYMF61SR70,01KRBVXESRWWVGTT97PW0KY4G1,2,2026-05-11T15:54:03.378878+00:00,2026-05-11T15:54:08.058061+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:2,Ks8h,QhAd,,,,100000,openclaw,fold,
01KRBVXX12QNAZP4K026PNHAA1,01KRBVXESRWWVGTT97PW0KY4G1,3,2026-05-11T15:54:10.850059+00:00,2026-05-11T15:54:12.747070+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:3,5hQh,Tc4h,,,,100000,hermes,fold,
01KRBVY1GDRK2G73KKFP6YR1B6,01KRBVXESRWWVGTT97PW0KY4G1,4,2026-05-11T15:54:15.437971+00:00,2026-05-11T15:54:19.918052+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:4,8dTs,9h5s,,,,100000,openclaw,fold,
01KRBVY8HN56JWZBMCRNT6PP8E,01KRBVXESRWWVGTT97PW0KY4G1,5,2026-05-11T15:54:22.645602+00:00,2026-05-11T15:54:32.740705+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:5,Kh7s,4s5h,,,,200000,openclaw,fold,
01KRBVYN2JVS5TB9MKG7D51QNT,01KRBVXESRWWVGTT97PW0KY4G1,6,2026-05-11T15:54:35.474452+00:00,2026-05-11T15:54:54.444591+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:6,AhTc,7d8s,7cQh4c,7s,,400000,openclaw,fold,
01KRBVZAAHMREJTEJ330V80DCC,01KRBVXESRWWVGTT97PW0KY4G1,7,2026-05-11T15:54:57.233805+00:00,2026-05-11T15:55:00.728733+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:7,6s2h,Qh3c,,,,100000,hermes,fold,
01KRBVZGFB3KS36E68MFNKE6ZD,01KRBVXESRWWVGTT97PW0KY4G1,8,2026-05-11T15:55:03.531774+00:00,2026-05-11T15:55:11.242025+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:8,8d9s,5h3c,,,,100000,openclaw,fold,
01KRBVZTNR93P92V0J11X794BE,01KRBVXESRWWVGTT97PW0KY4G1,9,2026-05-11T15:55:13.976525+00:00,2026-05-11T15:55:37.792270+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:9,AhQh,TcAd,2h6cKd,5c,9c,9361044,hermes,showdown,
01KRBW0MM1G345RVA1H0W8RNQ5,01KRBVXESRWWVGTT97PW0KY4G1,10,2026-05-11T15:55:40.545750+00:00,2026-05-11T15:55:49.302926+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:10,3hAs,6s2c,,,,200000,hermes,fold,
01KRBW0ZT6VSHEHWJCRGM9YVQ3,01KRBVXESRWWVGTT97PW0KY4G1,11,2026-05-11T15:55:52.006914+00:00,2026-05-11T15:56:20.154598+00:00,openclaw,01KRBVXESRWWVGTT97PW0KY4G1:11,5hKh,6sAs,8s4d5s,Tc,2d,600000,hermes,showdown,
01KRBW1Y02VXA57V5AYGZESZ3B,01KRBVXESRWWVGTT97PW0KY4G1,12,2026-05-11T15:56:22.914533+00:00,2026-05-11T15:56:48.586185+00:00,hermes,01KRBVXESRWWVGTT97PW0KY4G1:12,TdJh,Jd2h,ThKc7s,7h,6s,200000,hermes,showdown,
