match_id,snapshot_id,hand_id,hand_number,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1Z1RQKT5DCHSHPD2FRYMF,,,hermes,match_start,5000000,0,5000000,2026-05-13T16:15:52.087691+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1Z21C8BJ0Y7STG500Z64F,,,openclaw,match_start,5000000,0,5000000,2026-05-13T16:15:52.364668+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1Z36K2DBF13NVF1FSWPFB,01KRH1Z36GFNMXB2W659JDHTMF,1,hermes,hand_start,5000000,0,5000000,2026-05-13T16:15:53.555138+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1Z36KYH0K6WNW7H76984F,01KRH1Z36GFNMXB2W659JDHTMF,1,openclaw,hand_start,5000000,0,5000000,2026-05-13T16:15:53.555413+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1ZTDJYYWN9MYSTS0ZQ50S,01KRH1Z36GFNMXB2W659JDHTMF,1,hermes,hand_end,4900000,0,4900000,2026-05-13T16:16:17.330213+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1ZTDK6J4SQ7SGDN77NZMC,01KRH1Z36GFNMXB2W659JDHTMF,1,openclaw,hand_end,5100000,2545,5097455,2026-05-13T16:16:17.331989+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1ZVS4S876ZCMK3003B6FN,01KRH1ZVS2WEHH62SR4J08103Q,2,hermes,hand_start,4900000,0,4900000,2026-05-13T16:16:18.724033+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH1ZVS4JFQ9X8QHQ5XHYEYM,01KRH1ZVS2WEHH62SR4J08103Q,2,openclaw,hand_start,5100000,2545,5097455,2026-05-13T16:16:18.724434+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH202MKJCSJMAWF7RPFPC2T,01KRH1ZVS2WEHH62SR4J08103Q,2,hermes,hand_end,4850000,0,4850000,2026-05-13T16:16:25.747516+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH202MNRBJ0A43333FV2HJW,01KRH1ZVS2WEHH62SR4J08103Q,2,openclaw,hand_end,5150000,2545,5147455,2026-05-13T16:16:25.749043+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH2040RF44SHC691DP2FV47,01KRH2040PCDJDNNSKMFMKC29E,3,hermes,hand_start,4850000,0,4850000,2026-05-13T16:16:27.160623+00:00
01KRH1Z1C1WG2QAPJ3Q1G85W38,01KRH2040S5XV03DT11YPQHYNE,01KRH2040PCDJDNNSKMFMKC29E,3,openclaw,hand_start,5150000,2545,5147455,2026-05-13T16:16:27.161564+00:00
