match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRC390KG1QTZ1RR9M7Q6M81E,hermes,5000000,9968904,49805,9919099
01KRC390KG1QTZ1RR9M7Q6M81E,openclaw,5000000,31096,33308,0
