hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBWBT1HYSY8RCQKDQ0K6N6H,01KRBW350SJSXD3WFP768NDXB3,23,2026-05-11T16:01:46.545632+00:00,2026-05-11T16:01:50.039281+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:23,7sKs,6d2s,,,,100000,hermes,fold,
01KRBWC01MSWM5GTVEV9R1F0SR,01KRBW350SJSXD3WFP768NDXB3,24,2026-05-11T16:01:52.692556+00:00,2026-05-11T16:01:55.127897+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:24,7s4d,6c3c,,,,100000,openclaw,fold,
01KRBWC50KMHTK0XZSGVBE7307,01KRBW350SJSXD3WFP768NDXB3,25,2026-05-11T16:01:57.779670+00:00,2026-05-11T16:02:02.269275+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:25,AsKd,7sTc,,,,100000,hermes,fold,
01KRBWCC02XY9071NPSB7P4H64,01KRBW350SJSXD3WFP768NDXB3,26,2026-05-11T16:02:04.930982+00:00,2026-05-11T16:02:11.497858+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:26,7h8s,7c4h,,,,200000,hermes,fold,
01KRBWCN3BNX5SV5RTAPPDSG1G,01KRBW350SJSXD3WFP768NDXB3,27,2026-05-11T16:02:14.251436+00:00,2026-05-11T16:02:28.872282+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:27,6sKs,5s3h,,,,100000,hermes,fold,
01KRBWD62QAZJXZ5GA3W4NHF1Q,01KRBW350SJSXD3WFP768NDXB3,28,2026-05-11T16:02:31.639944+00:00,2026-05-11T16:02:43.065780+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:28,JdQs,Td2c,,,,200000,hermes,fold,
01KRBWDMHHXZ91JDJHDYRRQ8BP,01KRBW350SJSXD3WFP768NDXB3,29,2026-05-11T16:02:46.449785+00:00,2026-05-11T16:02:50.828967+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:29,QsQc,2s3c,,,,100000,hermes,fold,
01KRBWDVEPR46C1N0QR1ZVWRXG,01KRBW350SJSXD3WFP768NDXB3,30,2026-05-11T16:02:53.526557+00:00,2026-05-11T16:03:27.562240+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:30,4hAd,8hAc,8c8dKs,9s,,1200000,openclaw,fold,
01KRBWEZAZE1BV9XAX6G3KK489,01KRBW350SJSXD3WFP768NDXB3,31,2026-05-11T16:03:30.271219+00:00,2026-05-11T16:03:36.857803+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:31,7d4s,Ad8h,,,,200000,openclaw,fold,
01KRBWF8ECJ92YTHKM1XZFGPDY,01KRBW350SJSXD3WFP768NDXB3,32,2026-05-11T16:03:39.596710+00:00,2026-05-11T16:04:16.028312+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:32,9h9c,Ac9s,3d4d5s,7h,,800000,hermes,fold,
