match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRC4KDV039SQ0BP08XA8FYZ7,hermes,5000000,5385253,56272,5328981
01KRC4KDV039SQ0BP08XA8FYZ7,openclaw,5000000,4614747,77916,4536831
