match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRH5TCZBZPEEG5KWKBTCJC51,hermes,5000000,9864340,190732,9673608
01KRH5TCZBZPEEG5KWKBTCJC51,openclaw,5000000,135660,140690,0
