match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRBZ911K38627MSP5YNFD6N6,01KRBZG1228Q6XTKZCSRCWARQN,21,2026-05-11T16:56:30.530955+00:00,2026-05-11T16:56:37.496877+00:00,openclaw,openclaw,fold,200000,2,0,4953,3208.0,1,1,0,-100000,100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZGAJF77RGY2X5FJJ0FM49,22,2026-05-11T16:56:40.271256+00:00,2026-05-11T16:56:42.312877+00:00,hermes,openclaw,fold,100000,1,0,1644,1644.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZGF81154XNVWYAY2KWC6Q,23,2026-05-11T16:56:45.057043+00:00,2026-05-11T16:56:49.729040+00:00,openclaw,hermes,fold,100000,1,0,4210,4210.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZGPJTPK1N643H2Y52CXQY,24,2026-05-11T16:56:52.570940+00:00,2026-05-11T16:56:56.901381+00:00,hermes,openclaw,fold,100000,1,0,3932,3932.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZGXXKSRN5G2DB4W1CYEPH,25,2026-05-11T16:57:00.083412+00:00,2026-05-11T16:57:03.992545+00:00,openclaw,hermes,fold,100000,1,0,3483,3483.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZH4BHHYEGSAD1NCJ8YA85,26,2026-05-11T16:57:06.673326+00:00,2026-05-11T16:57:10.173670+00:00,hermes,openclaw,fold,100000,1,0,3096,3096.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZHAFWQXMC90WZ7HCK5DK4,27,2026-05-11T16:57:12.956889+00:00,2026-05-11T16:57:36.140786+00:00,openclaw,openclaw,fold,2400000,7,0,5179,3231.8571428571427,4,3,0,-1200000,1200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZJ3Q2S3TXY93AVSQBZ4PY,28,2026-05-11T16:57:38.786414+00:00,2026-05-11T16:57:40.645208+00:00,hermes,openclaw,fold,100000,1,0,1466,1466.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZJ83X7B03Z7GP2C921C5H,29,2026-05-11T16:57:43.293519+00:00,2026-05-11T16:58:20.206244+00:00,openclaw,openclaw,showdown,400000,8,0,12540,4539.25,4,4,0,-200000,200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZKEVRG9BSVVRBACRGGY2W,30,2026-05-11T16:58:22.968402+00:00,2026-05-11T16:58:30.153395+00:00,hermes,hermes,fold,200000,2,0,3847,3334.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZKRPCQV34G6HX6338BNXR,31,2026-05-11T16:58:33.036033+00:00,2026-05-11T16:58:37.870372+00:00,openclaw,hermes,fold,100000,1,0,4447,4447.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZM08C16Q5HQY3F67WFX9H,32,2026-05-11T16:58:40.780084+00:00,2026-05-11T16:58:50.782334+00:00,hermes,hermes,fold,200000,2,0,7459,4708.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZMCSCQZHPMQ7SCC2925B3,33,2026-05-11T16:58:53.612318+00:00,2026-05-11T16:58:57.779084+00:00,openclaw,hermes,fold,100000,1,0,3722,3722.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZMKHXNWFWQA6VDA8EQR99,34,2026-05-11T16:59:00.541826+00:00,2026-05-11T16:59:08.150407+00:00,hermes,openclaw,fold,100000,1,0,7064,7064.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZMXNMHZHX7JRTVEJSTZM0,35,2026-05-11T16:59:10.900752+00:00,2026-05-11T16:59:28.422539+00:00,openclaw,openclaw,fold,1200000,4,0,7737,4239.75,2,2,0,-600000,600000
01KRBZ911K38627MSP5YNFD6N6,01KRBZNHDDEVJR7MKWFXVYRV1R,36,2026-05-11T16:59:31.117203+00:00,2026-05-11T16:59:49.639758+00:00,hermes,hermes,fold,400000,5,0,5847,3584.8,2,3,0,200000,-200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZP66J9R82KGCY1P2YBF32,37,2026-05-11T16:59:52.402470+00:00,2026-05-11T16:59:56.295582+00:00,openclaw,hermes,fold,100000,1,0,3474,3474.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZPCNDGCQ93MP258GZ88C1,38,2026-05-11T16:59:59.021224+00:00,2026-05-11T17:00:11.201664+00:00,hermes,hermes,fold,200000,2,0,7561,5834.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZPV4PG02ADDSZNK1Z5RT4,39,2026-05-11T17:00:13.846737+00:00,2026-05-11T17:00:46.355770+00:00,openclaw,hermes,showdown,5332648,8,0,7665,3987.125,4,4,0,2666324,-2666324
01KRBZ911K38627MSP5YNFD6N6,01KRBZQXG93YYME6NCGRB0EGCW,40,2026-05-11T17:00:49.033253+00:00,2026-05-11T17:00:55.912193+00:00,hermes,hermes,fold,200000,2,0,4571,3164.5,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZR6T8SWPHG2QA1N8ENSYT,41,2026-05-11T17:00:58.568723+00:00,2026-05-11T17:01:02.820440+00:00,openclaw,hermes,fold,100000,1,0,3866,3866.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZRDJ8RZ6E9RMGXXZ59861,42,2026-05-11T17:01:05.480360+00:00,2026-05-11T17:01:13.204805+00:00,hermes,openclaw,fold,100000,1,0,7230,7230.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZRQR77N8YPN2N1SEJEVYT,43,2026-05-11T17:01:15.911405+00:00,2026-05-11T17:01:22.450395+00:00,openclaw,openclaw,fold,200000,2,0,3922,3012.0,1,1,0,-100000,100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZS0Z0YYS34EECHBHP59G4,44,2026-05-11T17:01:25.344321+00:00,2026-05-11T17:01:33.311839+00:00,hermes,openclaw,fold,400000,3,0,4396,2470.3333333333335,2,1,0,-200000,200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZSBCAN6R7JVG65BPF7RGZ,45,2026-05-11T17:01:36.010359+00:00,2026-05-11T17:01:40.366012+00:00,openclaw,hermes,fold,100000,1,0,3950,3950.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZSJ7W44MAHVC1BAXKCPCR,46,2026-05-11T17:01:43.036070+00:00,2026-05-11T17:01:45.502919+00:00,hermes,openclaw,fold,100000,1,0,2074,2074.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZSQ7N3FHCWFASND55SEJG,47,2026-05-11T17:01:48.149510+00:00,2026-05-11T17:01:52.173619+00:00,openclaw,hermes,fold,100000,1,0,3626,3626.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZSXS4476XK7B7CJND0CFV,48,2026-05-11T17:01:54.852679+00:00,2026-05-11T17:02:00.380665+00:00,hermes,hermes,fold,200000,2,0,3435,2449.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZT5T8RE3FSPP8W2HNG2RX,49,2026-05-11T17:02:03.080669+00:00,2026-05-11T17:02:07.710232+00:00,openclaw,hermes,fold,100000,1,0,4011,4011.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZTCYXK0R09ARECAWGNBCQ,50,2026-05-11T17:02:10.397561+00:00,2026-05-11T17:02:36.157358+00:00,hermes,hermes,fold,400000,5,0,9456,5042.2,2,3,0,200000,-200000
01KRBZ911K38627MSP5YNFD6N6,01KRBZV8PV6WZQTHP0P5Z6WNE1,51,2026-05-11T17:02:38.811115+00:00,2026-05-11T17:02:43.770193+00:00,openclaw,hermes,fold,100000,1,0,4536,4536.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZVG4645ZX2CG4AZ92DPTV,52,2026-05-11T17:02:46.406081+00:00,2026-05-11T17:02:49.742375+00:00,hermes,openclaw,fold,100000,1,0,2944,2944.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZVNZ0J83EN1516V1HPDE9,53,2026-05-11T17:02:52.384371+00:00,2026-05-11T17:03:32.884173+00:00,openclaw,hermes,showdown,1200000,9,0,13220,4427.0,4,5,0,600000,-600000
01KRBZ911K38627MSP5YNFD6N6,01KRBZX0KXRYZSHMNMGH2PSQPR,54,2026-05-11T17:03:36.061590+00:00,2026-05-11T17:03:38.419370+00:00,hermes,openclaw,fold,100000,1,0,1949,1949.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZX5MR2T1ETW5T7YPR5YXR,55,2026-05-11T17:03:41.208996+00:00,2026-05-11T17:03:45.391210+00:00,openclaw,hermes,fold,100000,1,0,3746,3746.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZXCCA30RMWRHBY3AV47CF,56,2026-05-11T17:03:48.106085+00:00,2026-05-11T17:03:50.153020+00:00,hermes,openclaw,fold,100000,1,0,1627,1627.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZXHEFMQGQWQ6ZB7JYCNTA,57,2026-05-11T17:03:53.295420+00:00,2026-05-11T17:03:57.828983+00:00,openclaw,hermes,fold,100000,1,0,4115,4115.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZXRHDM280C92YTGWG87GC,58,2026-05-11T17:04:00.557825+00:00,2026-05-11T17:04:04.899445+00:00,hermes,openclaw,fold,100000,1,0,3922,3922.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZXZES5WHYJ7GRSAN485Y1,59,2026-05-11T17:04:07.641594+00:00,2026-05-11T17:04:12.025846+00:00,openclaw,hermes,fold,100000,1,0,3616,3616.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZY6D7QAF1YWEKDXYT815Z,60,2026-05-11T17:04:14.759540+00:00,2026-05-11T17:04:18.784161+00:00,hermes,openclaw,fold,100000,1,0,2816,2816.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZYCZS3YNM4Q7MNRW6T7DE,61,2026-05-11T17:04:21.497215+00:00,2026-05-11T17:04:25.975301+00:00,openclaw,hermes,fold,100000,1,0,4073,4073.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZYM1E47BTFR3AYBTKZDQ3,62,2026-05-11T17:04:28.718428+00:00,2026-05-11T17:04:39.812585+00:00,hermes,hermes,fold,200000,2,0,7471,5237.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRBZZ1JPDWE873SG95TQ67V6,63,2026-05-11T17:04:42.582662+00:00,2026-05-11T17:04:46.835504+00:00,openclaw,hermes,fold,100000,1,0,3840,3840.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZZ8DBB7XSPDB25CGDHY3N,64,2026-05-11T17:04:49.579825+00:00,2026-05-11T17:04:51.773625+00:00,hermes,openclaw,fold,100000,1,0,1744,1744.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZZD96PRYMG3HKFG1S0SSR,65,2026-05-11T17:04:54.566268+00:00,2026-05-11T17:04:58.663440+00:00,openclaw,hermes,fold,100000,1,0,3647,3647.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZZM1KAK6ADZJRRRXMKBGX,66,2026-05-11T17:05:01.492001+00:00,2026-05-11T17:05:03.701620+00:00,hermes,openclaw,fold,100000,1,0,1809,1809.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRBZZRWYRVZFYRCJA9Q5V468,67,2026-05-11T17:05:06.462515+00:00,2026-05-11T17:05:12.498804+00:00,openclaw,hermes,fold,100000,1,0,5505,5505.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC001GNVF0WQGYG5FYDQ1T4,68,2026-05-11T17:05:15.285618+00:00,2026-05-11T17:05:21.861609+00:00,hermes,hermes,fold,200000,2,0,4218,3021.5,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRC00AH9PA13YRXM6CT8GD3N,69,2026-05-11T17:05:24.521504+00:00,2026-05-11T17:05:31.927015+00:00,openclaw,hermes,fold,100000,1,0,6899,6899.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC00MM48KQF1MAMVYBQ8NGY,70,2026-05-11T17:05:34.852131+00:00,2026-05-11T17:05:37.063112+00:00,hermes,openclaw,fold,100000,1,0,1789,1789.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRC00SC13XQQWT5EM2GD6N15,71,2026-05-11T17:05:39.713937+00:00,2026-05-11T17:05:44.401393+00:00,openclaw,hermes,fold,100000,1,0,4296,4296.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC010HQ723TPAJ51RD2Y7S3,72,2026-05-11T17:05:47.063895+00:00,2026-05-11T17:06:02.891072+00:00,hermes,hermes,fold,200000,2,0,12103,7647.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRC01JMSW3QAJTM4VW45A5PQ,73,2026-05-11T17:06:05.593657+00:00,2026-05-11T17:06:13.376387+00:00,openclaw,hermes,fold,100000,1,0,7265,7265.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC01WVSDJ7BRWNNWR9P7D8K,74,2026-05-11T17:06:16.057328+00:00,2026-05-11T17:06:22.875335+00:00,hermes,hermes,fold,200000,2,0,3669,3103.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRC0264NX8VSQRK6ZZW9BXR2,75,2026-05-11T17:06:25.557748+00:00,2026-05-11T17:06:29.795403+00:00,openclaw,hermes,fold,100000,1,0,3810,3810.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC02CWPMG1MTDX6CP0R1S15,76,2026-05-11T17:06:32.470676+00:00,2026-05-11T17:07:27.865060+00:00,hermes,split,showdown,0,10,0,9108,5466.2,4,6,0,0,0
01KRBZ911K38627MSP5YNFD6N6,01KRC045RCBSD0YDP0XW220HSB,77,2026-05-11T17:07:30.700248+00:00,2026-05-11T17:07:36.401417+00:00,openclaw,hermes,fold,100000,1,0,5127,5127.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC04E84SDJNZ4KE4BNEMYGB,78,2026-05-11T17:07:39.396175+00:00,2026-05-11T17:07:50.582762+00:00,hermes,hermes,fold,200000,2,0,7079,5318.0,1,1,0,100000,-100000
01KRBZ911K38627MSP5YNFD6N6,01KRC04VT07EC3QFEWCZTMPEM8,79,2026-05-11T17:07:53.280331+00:00,2026-05-11T17:07:57.682774+00:00,openclaw,hermes,fold,100000,1,0,4014,4014.0,0,1,0,50000,-50000
01KRBZ911K38627MSP5YNFD6N6,01KRC052P1QT7PHDW7YC7MC149,80,2026-05-11T17:08:00.321631+00:00,2026-05-11T17:08:02.569903+00:00,hermes,openclaw,fold,100000,1,0,1845,1845.0,1,0,0,-50000,50000
01KRBZ911K38627MSP5YNFD6N6,01KRC057FYW2QM8X0056E8J77N,81,2026-05-11T17:08:05.246944+00:00,2026-05-11T17:08:12.077807+00:00,openclaw,hermes,fold,100000,1,0,6280,6280.0,0,1,0,50000,-50000
