snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRC24ZK960ZWJS12FSHQ1AGK,01KRC22WBCVCJK8M78AK74D63Q,01KRC24CYF8K4T8SMASPFJB19W,hermes,hand_end,7800000,7179,7792821,2026-05-11T17:42:54.313101+00:00,6
01KRC24ZKCJX06EADJEFQ4ZBFA,01KRC22WBCVCJK8M78AK74D63Q,01KRC24CYF8K4T8SMASPFJB19W,openclaw,hand_end,2200000,4393,2195607,2026-05-11T17:42:54.316047+00:00,6
01KRC250YNAGJ54MDBKGPPGRYN,01KRC22WBCVCJK8M78AK74D63Q,01KRC250YM3VD7MVYY5D0MDF5C,hermes,hand_start,7800000,7179,7792821,2026-05-11T17:42:55.701898+00:00,7
01KRC250YP4CDK5MK6F64EQZET,01KRC22WBCVCJK8M78AK74D63Q,01KRC250YM3VD7MVYY5D0MDF5C,openclaw,hand_start,2200000,4393,2195607,2026-05-11T17:42:55.702223+00:00,7
01KRC2547XWVJ54P3E4ZD4NZ66,01KRC22WBCVCJK8M78AK74D63Q,01KRC250YM3VD7MVYY5D0MDF5C,hermes,hand_end,7850000,7179,7842821,2026-05-11T17:42:59.069876+00:00,7
01KRC2547ZPZTG0V0BJDAV13ST,01KRC22WBCVCJK8M78AK74D63Q,01KRC250YM3VD7MVYY5D0MDF5C,openclaw,hand_end,2150000,4614,2145386,2026-05-11T17:42:59.071056+00:00,7
01KRC255KHMQHFZQBKZNMAN8TB,01KRC22WBCVCJK8M78AK74D63Q,01KRC255KF9J3DBRZ6X3T09FHX,hermes,hand_start,7850000,7179,7842821,2026-05-11T17:43:00.465324+00:00,8
01KRC255KH6V5C6R61YYR5H8WK,01KRC22WBCVCJK8M78AK74D63Q,01KRC255KF9J3DBRZ6X3T09FHX,openclaw,hand_start,2150000,4614,2145386,2026-05-11T17:43:00.465796+00:00,8
01KRC25NEA7Z97NV2MDEPE40QB,01KRC22WBCVCJK8M78AK74D63Q,01KRC255KF9J3DBRZ6X3T09FHX,hermes,hand_end,7950000,9160,7940840,2026-05-11T17:43:16.682339+00:00,8
01KRC25NEBAWEQDQVV401EYQBM,01KRC22WBCVCJK8M78AK74D63Q,01KRC255KF9J3DBRZ6X3T09FHX,openclaw,hand_end,2050000,5551,2044449,2026-05-11T17:43:16.683704+00:00,8
01KRC25PRWZPFXNSBEVFKDPD4F,01KRC22WBCVCJK8M78AK74D63Q,01KRC25PRT9QQT109QFBHT2MA5,hermes,hand_start,7950000,9160,7940840,2026-05-11T17:43:18.044303+00:00,9
01KRC25PRWEA4Y8VGGBMRTGFP8,01KRC22WBCVCJK8M78AK74D63Q,01KRC25PRT9QQT109QFBHT2MA5,openclaw,hand_start,2050000,5551,2044449,2026-05-11T17:43:18.044839+00:00,9
01KRC264X9S1T16AT69R1AGPDS,01KRC22WBCVCJK8M78AK74D63Q,01KRC25PRT9QQT109QFBHT2MA5,hermes,hand_end,7500000,11725,7488275,2026-05-11T17:43:32.521428+00:00,9
