hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBS47EGM1C2M3BDWPPTF4CK,01KRBRC2TPAXX3XQN72J3W8W8D,35,2026-05-11T15:05:12.400819+00:00,2026-05-11T15:05:52.932719+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:35,7c6h,KhQh,AhAcKc,2d,4c,600000,openclaw,showdown,
01KRBS5HMJR2M9XNHVMDP6NQGS,01KRBRC2TPAXX3XQN72J3W8W8D,36,2026-05-11T15:05:55.602922+00:00,2026-05-11T15:06:18.005969+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:36,As3c,7hTd,Jc2c9c,Kd,6s,400000,hermes,showdown,
01KRBS6A5T0BSBSEPD8DEQPQ68,01KRBRC2TPAXX3XQN72J3W8W8D,37,2026-05-11T15:06:20.730324+00:00,2026-05-11T15:06:29.673536+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:37,4h7s,KdTh,,,,200000,openclaw,fold,
01KRBS6NMH0BBFFWNKMCE7QEFQ,01KRBRC2TPAXX3XQN72J3W8W8D,38,2026-05-11T15:06:32.465384+00:00,2026-05-11T15:07:12.081291+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:38,QhJs,6sKh,5c5d9c,8d,7c,960000,openclaw,showdown,
01KRBS7Z1NZWSPXMCJF5E73X71,01KRBRC2TPAXX3XQN72J3W8W8D,39,2026-05-11T15:07:14.869087+00:00,2026-05-11T15:07:23.588655+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:39,8c5s,4sAh,,,,200000,openclaw,fold,
01KRBS8A7QS64ANBNQ2NW1ZMN6,01KRBRC2TPAXX3XQN72J3W8W8D,40,2026-05-11T15:07:26.327729+00:00,2026-05-11T15:07:28.773589+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:40,2hJs,Jc7c,,,,100000,openclaw,fold,
01KRBS8F9K5DK99J6GWXGYZ2BB,01KRBRC2TPAXX3XQN72J3W8W8D,41,2026-05-11T15:07:31.507972+00:00,2026-05-11T15:08:05.012845+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:41,5d5s,JdKs,Ad2d9d,Jc,2c,1000000,openclaw,showdown,
01KRBS9JMK6SC61KJTGTD50PSD,01KRBRC2TPAXX3XQN72J3W8W8D,42,2026-05-11T15:08:07.699626+00:00,2026-05-11T15:08:10.725176+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:42,5c2h,6c2s,,,,100000,openclaw,fold,
01KRBS9R5CNX5EXBSZDZTCVQN5,01KRBRC2TPAXX3XQN72J3W8W8D,43,2026-05-11T15:08:13.357023+00:00,2026-05-11T15:08:18.011392+00:00,openclaw,01KRBRC2TPAXX3XQN72J3W8W8D:43,JsTc,4dJc,,,,100000,hermes,fold,
01KRBS9Z8ZDWZXC7X4AY8QC50Z,01KRBRC2TPAXX3XQN72J3W8W8D,44,2026-05-11T15:08:20.639714+00:00,2026-05-11T15:09:02.408949+00:00,hermes,01KRBRC2TPAXX3XQN72J3W8W8D:44,Ac7h,2s5h,Qc3cTh,Kh,Jd,400000,hermes,showdown,
