match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRGHWWMCYN089X9WE609D4AX,hermes,5000000,50325,55325,0
01KRGHWWMCYN089X9WE609D4AX,openclaw,5000000,9949675,65238,9884437
