match_id,hand_id,hand_number,started_at,ended_at,button_agent,winner,win_type,pot_final_micros,action_count,auto_action_count,max_decision_latency_ms,avg_decision_latency_ms,hermes_action_count,openclaw_action_count,error_count,hermes_settlement_delta_micros,openclaw_settlement_delta_micros
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8FB82F8JJQ07GFD4Z17ZE,1,2026-05-13T18:09:37.538358+00:00,2026-05-13T18:09:48.241638+00:00,openclaw,openclaw,fold,200000,2,0,8474,5037.5,1,1,0,-100000,100000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8FRA87T4T8RC1Z2W8DETD,2,2026-05-13T18:09:50.920544+00:00,2026-05-13T18:09:55.329976+00:00,hermes,openclaw,fold,100000,1,0,4010,4010.0,1,0,0,-50000,50000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8FZ5XS2ST07505HVEHXJX,3,2026-05-13T18:09:57.949046+00:00,2026-05-13T18:10:25.888344+00:00,openclaw,hermes,showdown,1000000,8,0,7920,3411.375,4,4,0,500000,-500000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8GX28QRGW9SB5HWZGXM5N,4,2026-05-13T18:10:28.552326+00:00,2026-05-13T18:10:55.052609+00:00,hermes,openclaw,fold,1600000,8,0,4544,3235.125,4,4,0,-800000,800000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8HSKW1A01PWPT6A76CSAP,5,2026-05-13T18:10:57.788847+00:00,2026-05-13T18:11:05.649012+00:00,openclaw,openclaw,fold,200000,2,0,4058,3652.5,1,1,0,-100000,100000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8J43WTN6029Z2F2MXSW5H,6,2026-05-13T18:11:08.540507+00:00,2026-05-13T18:11:23.355230+00:00,hermes,openclaw,fold,400000,3,0,7992,4757.333333333333,2,1,0,-200000,200000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8JN6R5GN0KYDMCHPW84AH,7,2026-05-13T18:11:26.040692+00:00,2026-05-13T18:11:29.163186+00:00,openclaw,hermes,fold,100000,1,0,2665,2665.0,0,1,0,50000,-50000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8JTTWQ2CNGPFG85YN73PS,8,2026-05-13T18:11:31.804819+00:00,2026-05-13T18:11:37.562494+00:00,hermes,openclaw,fold,100000,1,0,5244,5244.0,1,0,0,-50000,50000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8K33005GGJA0NRHQNV7VJ,9,2026-05-13T18:11:40.256986+00:00,2026-05-13T18:12:15.181744+00:00,openclaw,hermes,showdown,920000,9,0,8596,3811.1111111111113,5,4,0,460000,-460000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8M7TYYNB8TE0JWRNXRW01,10,2026-05-13T18:12:17.886080+00:00,2026-05-13T18:12:22.232774+00:00,hermes,openclaw,fold,100000,1,0,3929,3929.0,1,0,0,-50000,50000
01KRH8F9RDPDY0N1DN3WVD766A,01KRH8MEMRMYWKW8738B5VXPGF,11,2026-05-13T18:12:24.856532+00:00,2026-05-13T18:12:38.613540+00:00,openclaw,openclaw,fold,200000,2,0,9817,6619.5,1,1,0,-100000,100000
