match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRH9TWVP46N1W1Q3HPGJFXKN,hermes,5000000,9979582,146365,9833217
01KRH9TWVP46N1W1Q3HPGJFXKN,openclaw,5000000,20418,21315,0
