match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRBV0HCFB0ZGT23R0XV67SSS,hermes,5000000,9984381,85500,9898881
01KRBV0HCFB0ZGT23R0XV67SSS,openclaw,5000000,15619,17827,0
