hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRHEJYY5Z7P8K98QN5J1Z48D,01KRHEJWN7NGRR22J377DJHV74,1,2026-05-13T19:56:27.461326+00:00,2026-05-13T19:56:54.292383+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:1,AhQd,9sKh,5cAd6c,,,1000000,hermes,fold,
01KRHEKXWC6ZQWVSB85RGW2FVB,01KRHEJWN7NGRR22J377DJHV74,2,2026-05-13T19:56:59.148752+00:00,2026-05-13T19:57:11.657595+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:2,9h4d,JsJd,,,,100000,openclaw,fold,
01KRHEMGKW7NQ0NRY1HSDGC3PV,01KRHEJWN7NGRR22J377DJHV74,3,2026-05-13T19:57:18.332384+00:00,2026-05-13T19:57:27.540572+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:3,3h9s,6h9d,,,,100000,hermes,fold,
01KRHEMWB41P4FRXTC0EYA74E0,01KRHEJWN7NGRR22J377DJHV74,4,2026-05-13T19:57:30.340775+00:00,2026-05-13T19:57:46.828225+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:4,KdQs,8c6h,,,,200000,hermes,fold,
01KRHENFCF5FN4CR508J1WXG6X,01KRHEJWN7NGRR22J377DJHV74,5,2026-05-13T19:57:49.839845+00:00,2026-05-13T19:58:23.064551+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:5,Ks8s,5cAd,Kc3c6c,Kd,,1800000,hermes,fold,
01KRHEPN0QY84AACT3P3VXY852,01KRHEJWN7NGRR22J377DJHV74,6,2026-05-13T19:58:28.375418+00:00,2026-05-13T19:58:31.152701+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:6,8hQc,2h9s,,,,100000,openclaw,fold,
01KRHEPTEB0XTSKN4MJFWY86N2,01KRHEJWN7NGRR22J377DJHV74,7,2026-05-13T19:58:33.931667+00:00,2026-05-13T19:58:38.181353+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:7,AsQd,9h8c,,,,100000,hermes,fold,
01KRHEQ1AJQYB4T591QFSY5DQP,01KRHEJWN7NGRR22J377DJHV74,8,2026-05-13T19:58:40.978836+00:00,2026-05-13T19:58:53.804590+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:8,5d2h,ThKc,,,,100000,openclaw,fold,
01KRHEQGKD9X6MBHQ0YPCP0HD6,01KRHEJWN7NGRR22J377DJHV74,9,2026-05-13T19:58:56.622027+00:00,2026-05-13T19:59:06.810382+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:9,2s9c,9hQh,,,,200000,openclaw,fold,
01KRHEQXAZWPAN1SFQS3656C0F,01KRHEJWN7NGRR22J377DJHV74,10,2026-05-13T19:59:09.663374+00:00,2026-05-13T19:59:55.350407+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:10,5c5s,7dTs,3s8h9c,Tc,6d,200000,openclaw,showdown,
01KRHESCP9G747R4SZYMPC0BJJ,01KRHEJWN7NGRR22J377DJHV74,11,2026-05-13T19:59:58.153046+00:00,2026-05-13T20:00:02.609993+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:11,4d2s,Ts9d,,,,100000,hermes,fold,
01KRHESKRGAN4F72XPJ1TWW08B,01KRHEJWN7NGRR22J377DJHV74,12,2026-05-13T20:00:05.392958+00:00,2026-05-13T20:00:07.895341+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:12,6s3s,3cJd,,,,100000,openclaw,fold,
01KRHESRWTCBF4NHEDCYRDQXPM,01KRHEJWN7NGRR22J377DJHV74,13,2026-05-13T20:00:10.650861+00:00,2026-05-13T20:00:18.785978+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:13,Ts6c,KdTd,,,,200000,openclaw,fold,
01KRHET3J1VSAKKJ3P9V245ATB,01KRHEJWN7NGRR22J377DJHV74,14,2026-05-13T20:00:21.569668+00:00,2026-05-13T20:00:24.784889+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:14,Ts4c,JsKs,,,,100000,openclaw,fold,
01KRHET9BZ4AY8KWYMQYTBKGKF,01KRHEJWN7NGRR22J377DJHV74,15,2026-05-13T20:00:27.519412+00:00,2026-05-13T20:00:31.682743+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:15,ThTs,6d9h,,,,100000,hermes,fold,
01KRHETG3TM98EEZEFNV4DTMNT,01KRHEJWN7NGRR22J377DJHV74,16,2026-05-13T20:00:34.426590+00:00,2026-05-13T20:00:45.790737+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:16,QdJc,Kc6d,,,,200000,hermes,fold,
01KRHETXX6ZWED3X2VDKK6TDTH,01KRHEJWN7NGRR22J377DJHV74,17,2026-05-13T20:00:48.550060+00:00,2026-05-13T20:00:52.770439+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:17,4cKs,7hTd,,,,100000,hermes,fold,
01KRHEV4T8D5QRQ4V5KB6CRXEW,01KRHEJWN7NGRR22J377DJHV74,18,2026-05-13T20:00:55.624566+00:00,2026-05-13T20:00:57.481864+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:18,Js8d,ThTd,,,,100000,openclaw,fold,
01KRHEV99SHZP5KFDG6S00W32N,01KRHEJWN7NGRR22J377DJHV74,19,2026-05-13T20:01:00.217629+00:00,2026-05-13T20:01:04.521332+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:19,6hJs,6c3c,,,,100000,hermes,fold,
01KRHEVG5YY57BA0208RCKBPTM,01KRHEJWN7NGRR22J377DJHV74,20,2026-05-13T20:01:07.262922+00:00,2026-05-13T20:01:09.879379+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:20,3cAh,4d3h,,,,100000,openclaw,fold,
01KRHEVNCW240D3PP7HCGSA2PD,01KRHEJWN7NGRR22J377DJHV74,21,2026-05-13T20:01:12.604783+00:00,2026-05-13T20:02:00.090232+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:21,8h3h,3c4c,5s2h3s,Ts,6s,200000,openclaw,showdown,
01KRHEX6KJ75TJS2EFA2M2NXRQ,01KRHEJWN7NGRR22J377DJHV74,22,2026-05-13T20:02:02.994405+00:00,2026-05-13T20:02:37.088060+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:22,3s3d,4s8s,2dAhTd,As,Ac,200000,hermes,showdown,
01KRHEYAKZ9P1C6YPKM1J5NTJ3,01KRHEJWN7NGRR22J377DJHV74,23,2026-05-13T20:02:39.871526+00:00,2026-05-13T20:02:44.598103+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:23,5c5s,4hKh,,,,100000,hermes,fold,
01KRHEYHXYFWJZEHZR2DFSGV21,01KRHEJWN7NGRR22J377DJHV74,24,2026-05-13T20:02:47.358836+00:00,2026-05-13T20:02:50.293369+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:24,Tc5h,7h8d,,,,100000,openclaw,fold,
01KRHEYQEVPSM32VY5624ENHH0,01KRHEJWN7NGRR22J377DJHV74,25,2026-05-13T20:02:53.019662+00:00,2026-05-13T20:03:10.811102+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:25,KhKc,4hAs,7s8dJs,,,1800000,hermes,fold,
01KRHEZBJB2W6FB344SB0VDCK4,01KRHEJWN7NGRR22J377DJHV74,26,2026-05-13T20:03:13.611481+00:00,2026-05-13T20:03:15.411874+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:26,Qs5c,Ts4s,,,,100000,openclaw,fold,
01KRHEZFZY2SGHFY3V87GMK7B8,01KRHEJWN7NGRR22J377DJHV74,27,2026-05-13T20:03:18.142051+00:00,2026-05-13T20:03:23.149091+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:27,Jd4s,7cQs,,,,100000,hermes,fold,
01KRHEZQMEZHB3QRD1BD1TYT2Q,01KRHEJWN7NGRR22J377DJHV74,28,2026-05-13T20:03:25.966155+00:00,2026-05-13T20:03:32.482740+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:28,AdJc,3s4c,,,,200000,hermes,fold,
01KRHF00TC8HSRDV4KXK7FGK97,01KRHEJWN7NGRR22J377DJHV74,29,2026-05-13T20:03:35.372414+00:00,2026-05-13T20:03:39.691915+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:29,5h4s,8h4c,,,,100000,hermes,fold,
01KRHF07WJ4VFMARE9BSVPA3YQ,01KRHEJWN7NGRR22J377DJHV74,30,2026-05-13T20:03:42.610945+00:00,2026-05-13T20:03:44.618664+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:30,4dTc,QsAh,,,,100000,openclaw,fold,
01KRHF0D0D1EDQK8BPWWHTW05P,01KRHEJWN7NGRR22J377DJHV74,31,2026-05-13T20:03:47.853888+00:00,2026-05-13T20:03:52.951674+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:31,Jd8h,8d7h,,,,100000,hermes,fold,
01KRHF0MVJ7AYPPJYJJW5VGQEW,01KRHEJWN7NGRR22J377DJHV74,32,2026-05-13T20:03:55.891022+00:00,2026-05-13T20:04:07.751882+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:32,7h2s,9h5c,,,,100000,openclaw,fold,
01KRHF1342XMGA73Y6ZPJDV3YD,01KRHEJWN7NGRR22J377DJHV74,33,2026-05-13T20:04:10.498839+00:00,2026-05-13T20:04:15.218374+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:33,9s2c,5sJc,,,,100000,hermes,fold,
01KRHF1ACTR27CVKNJXR1FM48V,01KRHEJWN7NGRR22J377DJHV74,34,2026-05-13T20:04:17.946290+00:00,2026-05-13T20:04:20.502268+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:34,6d3c,Th6s,,,,100000,openclaw,fold,
01KRHF1FHWAHN9190KGSKNN5QA,01KRHEJWN7NGRR22J377DJHV74,35,2026-05-13T20:04:23.228554+00:00,2026-05-13T20:04:27.426272+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:35,5hQd,4c7s,,,,100000,hermes,fold,
01KRHF1PA3X617AH62HRAT7PYZ,01KRHEJWN7NGRR22J377DJHV74,36,2026-05-13T20:04:30.147292+00:00,2026-05-13T20:04:37.904979+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:36,5c2c,6dJh,,,,100000,openclaw,fold,
01KRHF20PJA1DKWW25EMF79BBQ,01KRHEJWN7NGRR22J377DJHV74,37,2026-05-13T20:04:40.786336+00:00,2026-05-13T20:04:48.244760+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:37,6cTh,QhJd,,,,200000,openclaw,fold,
01KRHF2AN0QDXS92E671XTTD3D,01KRHEJWN7NGRR22J377DJHV74,38,2026-05-13T20:04:50.976611+00:00,2026-05-13T20:04:53.496571+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:38,5cTs,Td7c,,,,100000,openclaw,fold,
01KRHF2FRPR51E843WT9NM9J6P,01KRHEJWN7NGRR22J377DJHV74,39,2026-05-13T20:04:56.214390+00:00,2026-05-13T20:05:02.822957+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:39,4dKh,5hJc,,,,100000,hermes,fold,
01KRHF2RXZ3GSC82A0SJ3S9SDH,01KRHEJWN7NGRR22J377DJHV74,40,2026-05-13T20:05:05.599901+00:00,2026-05-13T20:05:08.390923+00:00,hermes,01KRHEJWN7NGRR22J377DJHV74:40,5d7h,7s4h,,,,100000,openclaw,fold,
01KRHF2YDDWTWNT7CMZN0YMT0J,01KRHEJWN7NGRR22J377DJHV74,41,2026-05-13T20:05:11.213753+00:00,2026-05-13T20:05:17.678062+00:00,openclaw,01KRHEJWN7NGRR22J377DJHV74:41,Jd5d,TsTd,,,,200000,openclaw,fold,
