match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRHEJWN7NGRR22J377DJHV74,hermes,5000000,9881050,16238,9864812
01KRHEJWN7NGRR22J377DJHV74,openclaw,5000000,118950,130020,0
