match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRC894R7SVDC4PP72FEFYEMQ,hermes,5000000,4245961,78429,4167532
01KRC894R7SVDC4PP72FEFYEMQ,openclaw,5000000,5754039,467000,5287039
