match_id,agent_name,initial_limit_micros,final_limit_micros,final_usage_micros,final_limit_remaining_micros
01KRH9GKP31H3GD5YY3P1BG31X,hermes,5000000,100000,0,100000
01KRH9GKP31H3GD5YY3P1BG31X,openclaw,5000000,9900000,484,9899516
