snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRC6TMQQMGXV3FAXFXF8AT6J,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TA7ZV23YSMQX39HFEM71,hermes,hand_end,5175000,51630,5123370,2026-05-11T19:04:38.391710+00:00,6
01KRC6TMQT86PA9XWX75G82ZG6,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TA7ZV23YSMQX39HFEM71,openclaw,hand_end,4825000,7260,4817740,2026-05-11T19:04:38.394266+00:00,6
01KRC6TP301S4C46V1992HN3E3,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TP2XPWNG2J6PKHR4X9M5,hermes,hand_start,5175000,51630,5123370,2026-05-11T19:04:39.776281+00:00,7
01KRC6TP31J268S0WWQ62VZH09,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TP2XPWNG2J6PKHR4X9M5,openclaw,hand_start,4825000,7260,4817740,2026-05-11T19:04:39.777316+00:00,7
01KRC6V86XP4124PBWCRW0K599,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TP2XPWNG2J6PKHR4X9M5,hermes,hand_end,5075000,64475,5010525,2026-05-11T19:04:58.333302+00:00,7
01KRC6V870279917JC0FWMZ79G,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6TP2XPWNG2J6PKHR4X9M5,openclaw,hand_end,4925000,9173,4915827,2026-05-11T19:04:58.336145+00:00,7
01KRC6V9JR8EFBK0EJVNGPC19D,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6V9JP8PRDCM8SSQZYMC0F,hermes,hand_start,5075000,64475,5010525,2026-05-11T19:04:59.736722+00:00,8
01KRC6V9JSXGT1V5Q8HW8CBKB4,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6V9JP8PRDCM8SSQZYMC0F,openclaw,hand_start,4925000,9173,4915827,2026-05-11T19:04:59.737213+00:00,8
01KRC6W5YYTAVF4NE6CFQYBZHM,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6V9JP8PRDCM8SSQZYMC0F,hermes,hand_end,5675000,74225,5600775,2026-05-11T19:05:28.798953+00:00,8
01KRC6W5Z2KAMHC6ZD0Y0VJH2Z,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6V9JP8PRDCM8SSQZYMC0F,openclaw,hand_end,4325000,12146,4312854,2026-05-11T19:05:28.802469+00:00,8
01KRC6W7AF9P5HY7VTBVJ617FF,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6W7ACR5DG2EHE9BN4JVW9,hermes,hand_start,5675000,74225,5600775,2026-05-11T19:05:30.191098+00:00,9
01KRC6W7AFXZ0F9Q0RE2SE0QD9,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6W7ACR5DG2EHE9BN4JVW9,openclaw,hand_start,4325000,12146,4312854,2026-05-11T19:05:30.191567+00:00,9
01KRC6WBC6G6QM2SK0RFJZMPZQ,01KRC6PS1G2E9J57X1KEDBN43G,01KRC6W7ACR5DG2EHE9BN4JVW9,hermes,hand_end,5725000,77495,5647505,2026-05-11T19:05:34.342343+00:00,9
