hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRC79SE4CFFEMTQJS2829ZE1,01KRC6PS1G2E9J57X1KEDBN43G,37,2026-05-11T19:12:54.724082+00:00,2026-05-11T19:12:57.207736+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:37,6d3s,8c3c,,,,100000,hermes,fold,
01KRC79YJHSKHXJGWAHKAG2DHF,01KRC6PS1G2E9J57X1KEDBN43G,38,2026-05-11T19:12:59.985793+00:00,2026-05-11T19:13:12.834503+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:38,4hKc,6c9c,2sKhTd,,,200000,hermes,fold,
01KRC7ADZ3SHK1JVGVETH5CNM2,01KRC6PS1G2E9J57X1KEDBN43G,39,2026-05-11T19:13:15.747256+00:00,2026-05-11T19:13:20.032033+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:39,7h5d,Td4d,,,,100000,hermes,fold,
01KRC7AMTWJHY28FEW91EN3KRZ,01KRC6PS1G2E9J57X1KEDBN43G,40,2026-05-11T19:13:22.780221+00:00,2026-05-11T19:13:26.576821+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:40,Js6d,AhAc,,,,100000,openclaw,fold,
01KRC7AV84G06ATTQQQXWV3HAX,01KRC6PS1G2E9J57X1KEDBN43G,41,2026-05-11T19:13:29.348126+00:00,2026-05-11T19:13:31.514133+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:41,8h8d,Kd4c,,,,100000,hermes,fold,
01KRC7B01TDV3EN9JYMQ6KQAD5,01KRC6PS1G2E9J57X1KEDBN43G,42,2026-05-11T19:13:34.266108+00:00,2026-05-11T19:13:36.299514+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:42,Jc5d,Ac5s,,,,100000,openclaw,fold,
01KRC7B4T5A6A7QDDJSMMVKGNV,01KRC6PS1G2E9J57X1KEDBN43G,43,2026-05-11T19:13:39.141721+00:00,2026-05-11T19:14:10.733030+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:43,Ac5s,7c8c,Ah6sJh,,,1200000,hermes,fold,
01KRC7C6FKMQ079JDGPTCGVGKA,01KRC6PS1G2E9J57X1KEDBN43G,44,2026-05-11T19:14:13.619716+00:00,2026-05-11T19:14:29.542326+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:44,Kc4h,9hKd,Qh5h6s,Qc,Ts,200000,openclaw,showdown,
01KRC7CRTMQ96PTVS6MMB5AKS6,01KRC6PS1G2E9J57X1KEDBN43G,45,2026-05-11T19:14:32.404501+00:00,2026-05-11T19:14:34.028629+00:00,openclaw,01KRC6PS1G2E9J57X1KEDBN43G:45,Th2d,Ks7d,,,,100000,hermes,fold,
01KRC7CY66QJ5P3WAX43314JAF,01KRC6PS1G2E9J57X1KEDBN43G,46,2026-05-11T19:14:37.894224+00:00,2026-05-11T19:14:42.114580+00:00,hermes,01KRC6PS1G2E9J57X1KEDBN43G:46,JhAh,3sJs,,,,200000,hermes,fold,
