hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRH71P1TZYJ1PB2YEQ41HQT0,01KRH71MF1JV7D7QVCPN73GWJ7,1,2026-05-13T17:44:41.274361+00:00,2026-05-13T17:44:55.735980+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:1,QcKc,Ks2d,,,,100000,hermes,fold,
01KRH726RYSYB6GJ8PNRE50JMG,01KRH71MF1JV7D7QVCPN73GWJ7,2,2026-05-13T17:44:58.398349+00:00,2026-05-13T17:45:10.447477+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:2,TdKh,Ts6c,,,,200000,hermes,fold,
01KRH72N6C6F7HY1H38HMYEV9Y,01KRH71MF1JV7D7QVCPN73GWJ7,3,2026-05-13T17:45:13.164402+00:00,2026-05-13T17:45:53.088859+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:3,9h6d,5c4c,7sKhJd,3h,Qs,400000,hermes,showdown,
01KRH73YTZ0R5BFJQVQHWKB2DX,01KRH71MF1JV7D7QVCPN73GWJ7,4,2026-05-13T17:45:55.807269+00:00,2026-05-13T17:46:27.989645+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:4,KsTd,JcKc,2c3c5s,6s,Jd,2400000,openclaw,showdown,
01KRH750YJ80XGVXM8ZM99ZHY4,01KRH71MF1JV7D7QVCPN73GWJ7,5,2026-05-13T17:46:30.738323+00:00,2026-05-13T17:46:37.258356+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:5,5dQs,4h9s,,,,100000,hermes,fold,
01KRH75A02CYRHG8S3Y4EZX550,01KRH71MF1JV7D7QVCPN73GWJ7,6,2026-05-13T17:46:40.002945+00:00,2026-05-13T17:46:57.064481+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:6,As5d,9dTd,3cQc4h,,,500000,hermes,fold,
01KRH75XANY97R3G50SRKCVET7,01KRH71MF1JV7D7QVCPN73GWJ7,7,2026-05-13T17:46:59.797942+00:00,2026-05-13T17:47:03.782040+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:7,5hJc,Td2s,,,,100000,hermes,fold,
01KRH763XG0800YPCQ981DNE8M,01KRH71MF1JV7D7QVCPN73GWJ7,8,2026-05-13T17:47:06.544532+00:00,2026-05-13T17:47:33.407858+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:8,8dJc,4dTh,9s9hQh,Kh,8s,200000,hermes,showdown,
01KRH770V5Q8J214XYTQEKATKS,01KRH71MF1JV7D7QVCPN73GWJ7,9,2026-05-13T17:47:36.165258+00:00,2026-05-13T17:47:42.770504+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:9,5cTh,Ad6c,,,,200000,openclaw,fold,
01KRH77A0Y682N360R9Y7E7EES,01KRH71MF1JV7D7QVCPN73GWJ7,10,2026-05-13T17:47:45.567013+00:00,2026-05-13T17:47:56.717171+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:10,Jc6c,5dKs,,,,200000,hermes,fold,
01KRH77QMG46SYGSMFYPG2HRVA,01KRH71MF1JV7D7QVCPN73GWJ7,11,2026-05-13T17:47:59.504897+00:00,2026-05-13T17:48:28.207914+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:11,7c6s,Kh5h,4c7dTd,2h,Ac,400000,hermes,showdown,
01KRH78PEGJFF2J19N4ES4P4G2,01KRH71MF1JV7D7QVCPN73GWJ7,12,2026-05-13T17:48:31.056403+00:00,2026-05-13T17:48:33.538558+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:12,9s3d,6cAd,,,,100000,openclaw,fold,
01KRH78VM6HBXQP70YPQVZWPEC,01KRH71MF1JV7D7QVCPN73GWJ7,13,2026-05-13T17:48:36.358627+00:00,2026-05-13T17:48:43.433183+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:13,3c7c,3hQh,,,,100000,hermes,fold,
01KRH79575N9AQREE34RJBPWGD,01KRH71MF1JV7D7QVCPN73GWJ7,14,2026-05-13T17:48:46.181285+00:00,2026-05-13T17:49:16.891486+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:14,5d2h,9d8d,8c4cTs,Td,Qh,200000,openclaw,showdown,
01KRH7A5W2PWZ2Z8TB2Y0HH506,01KRH71MF1JV7D7QVCPN73GWJ7,15,2026-05-13T17:49:19.618268+00:00,2026-05-13T17:49:23.499603+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:15,2h8h,Jh9s,,,,100000,hermes,fold,
01KRH7ACHMN0S7P85DGVQA2TXB,01KRH71MF1JV7D7QVCPN73GWJ7,16,2026-05-13T17:49:26.452478+00:00,2026-05-13T17:49:29.552936+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:16,6d2s,9sKd,,,,100000,openclaw,fold,
01KRH7AJ7CDEQ71PXP042GSWG2,01KRH71MF1JV7D7QVCPN73GWJ7,17,2026-05-13T17:49:32.268285+00:00,2026-05-13T17:49:37.020225+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:17,3h6h,Td2d,,,,100000,hermes,fold,
01KRH7ASHDPS4GSM2Z1DSADT24,01KRH71MF1JV7D7QVCPN73GWJ7,18,2026-05-13T17:49:39.757625+00:00,2026-05-13T17:50:04.431729+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:18,6sJs,7sQc,QsKh4d,2d,6c,200000,openclaw,showdown,
01KRH7BMEK5BWKYX6BVZEDE3D5,01KRH71MF1JV7D7QVCPN73GWJ7,19,2026-05-13T17:50:07.315663+00:00,2026-05-13T17:50:11.342899+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:19,QcQs,8s3h,,,,100000,hermes,fold,
01KRH7BW8QRNRMGFS8P8QW2GJK,01KRH71MF1JV7D7QVCPN73GWJ7,20,2026-05-13T17:50:15.319531+00:00,2026-05-13T17:50:42.036199+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:20,Jd5h,8s7s,3cTs6h,6d,8d,200000,openclaw,showdown,
01KRH7CS1P8JYNDDPYSP4ERXD3,01KRH71MF1JV7D7QVCPN73GWJ7,21,2026-05-13T17:50:44.790244+00:00,2026-05-13T17:50:49.219858+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:21,9s8d,Jh5h,,,,100000,hermes,fold,
01KRH7D002C9038AEQ8PFDN1K9,01KRH71MF1JV7D7QVCPN73GWJ7,22,2026-05-13T17:50:51.907018+00:00,2026-05-13T17:50:58.343113+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:22,AdKs,8h2d,,,,200000,hermes,fold,
01KRH7D922NPFD204B7MS671FW,01KRH71MF1JV7D7QVCPN73GWJ7,23,2026-05-13T17:51:01.186597+00:00,2026-05-13T17:51:30.044179+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:23,7h9s,Ks4s,6hKc3h,7s,Ah,400000,openclaw,showdown,
01KRH7E85C51Y6ZP4N3WVSXXRN,01KRH71MF1JV7D7QVCPN73GWJ7,24,2026-05-13T17:51:33.036986+00:00,2026-05-13T17:51:36.102625+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:24,5s9d,Th3s,,,,100000,openclaw,fold,
01KRH7EDWYSMVT11M32YFWVBXE,01KRH71MF1JV7D7QVCPN73GWJ7,25,2026-05-13T17:51:38.910637+00:00,2026-05-13T17:52:03.257031+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:25,6dJc,Qs9h,JdKhAs,9d,5s,200000,hermes,showdown,
01KRH7F8C3TKXYP15D8J3PF8N7,01KRH71MF1JV7D7QVCPN73GWJ7,26,2026-05-13T17:52:06.019315+00:00,2026-05-13T17:52:32.678169+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:26,7dJs,2c7h,4s6dKc,9c,Qh,200000,hermes,showdown,
01KRH7G54XK6DTTPHMTFDZSPQN,01KRH71MF1JV7D7QVCPN73GWJ7,27,2026-05-13T17:52:35.485227+00:00,2026-05-13T17:52:39.244431+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:27,3cQs,2h7d,,,,100000,hermes,fold,
01KRH7GBK9MT622BC66V9DW3V8,01KRH71MF1JV7D7QVCPN73GWJ7,28,2026-05-13T17:52:42.089336+00:00,2026-05-13T17:53:05.637719+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:28,8c7h,2c7d,QcJd8s,Td,Kh,200000,hermes,showdown,
01KRH7H5B0G3MZVXDYNKR3VF0S,01KRH71MF1JV7D7QVCPN73GWJ7,29,2026-05-13T17:53:08.448230+00:00,2026-05-13T17:53:23.203256+00:00,openclaw,01KRH71MF1JV7D7QVCPN73GWJ7:29,4h3d,6d7d,2s8dJd,,,400000,openclaw,fold,
01KRH7HPN4HW065NJZAD9V6GS6,01KRH71MF1JV7D7QVCPN73GWJ7,30,2026-05-13T17:53:26.180148+00:00,2026-05-13T17:53:42.612992+00:00,hermes,01KRH71MF1JV7D7QVCPN73GWJ7:30,AdTh,Ah7c,3cTsKs,,,500000,hermes,fold,
